"Severity","Rule","File","Line","Detail","Recommendation"
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\MaintenanceOperationsView.cs","180","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\MaintenanceOperationsView.cs","888","Griglia con 12 colonne fisse e almeno 1375 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\MaintenancePurchasingView.cs","71","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\MaintenancePurchasingView.cs","112","MinWidth impostata a 1120 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\MaintenancePurchasingView.cs","131","MinWidth impostata a 900 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\MaintenancePurchasingView.cs","137","Griglia con 6 colonne fisse e almeno 930 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\MaintenancePurchasingView.cs","275","Griglia con 9 colonne fisse e almeno 1050 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SparePartLocationsView.cs","31","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartLocationsView.cs","39","MinWidth impostata a 1000 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartLocationsView.cs","65","Griglia con 8 colonne fisse e almeno 1020 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartLocationsView.cs","104","MinWidth impostata a 950 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartLocationsView.cs","125","MinWidth impostata a 900 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartLocationsView.cs","156","MinWidth impostata a 1040 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartLocationsView.cs","181","Griglia con 7 colonne fisse e almeno 1115 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartPickRequestsWindow.cs","25","MinWidth impostata a 980 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SparePartPickRequestsWindow.cs","39","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartPickRequestsWindow.cs","51","MinWidth impostata a 1220 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartPickRequestsWindow.cs","94","Griglia con 8 colonne fisse e almeno 1320 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartPickRequestsWindow.cs","127","MinWidth impostata a 1080 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartPickRequestsWindow.cs","138","Griglia con 9 colonne fisse e almeno 1105 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartQuarantineWindow.cs","21","MinWidth impostata a 1020 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SparePartQuarantineWindow.cs","37","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartQuarantineWindow.cs","48","MinWidth impostata a 1270 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartQuarantineWindow.cs","68","Griglia con 8 colonne fisse e almeno 1300 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SparePartReplenishmentView.cs","46","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartReplenishmentView.cs","60","MinWidth impostata a 1230 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartReplenishmentView.cs","158","Griglia con 8 colonne fisse e almeno 1230 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartRmaWindow.cs","16","MinWidth impostata a 1080 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SparePartRmaWindow.cs","17","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartRmaWindow.cs","18","MinWidth impostata a 1340 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartRmaWindow.cs","37","Griglia con 10 colonne fisse e almeno 1610 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartsInventoryAdvancedDialogs.cs","111","MinWidth impostata a 900 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartsInventoryAdvancedDialogs.cs","149","MinWidth impostata a 1080 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SparePartsInventoryAdvancedDialogs.cs","162","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartsInventoryAdvancedDialogs.cs","168","Griglia con 9 colonne fisse e almeno 1155 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartsInventoryView.cs","61","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SparePartsInventoryView.cs","63","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartsInventoryView.cs","138","Griglia con 8 colonne fisse e almeno 1450 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","35","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","42","MinWidth impostata a 1080 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","96","Griglia con 9 colonne fisse e almeno 1190 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","139","MinWidth impostata a 940 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","172","Griglia con 7 colonne fisse e almeno 985 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierCommunicationArchiveWindow.cs","19","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierCommunicationArchiveWindow.cs","25","MinWidth impostata a 940 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierCommunicationRegisterWindow.cs","16","MinWidth impostata a 1100 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierCommunicationRegisterWindow.cs","17","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierCommunicationRegisterWindow.cs","27","MinWidth impostata a 1500 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierCommunicationRegisterWindow.cs","27","Griglia con 7 colonne fisse e almeno 1295 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierFollowUpDashboardWindow.cs","25","MinWidth impostata a 1050 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierFollowUpDashboardWindow.cs","70","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierFollowUpDashboardWindow.cs","110","MinWidth impostata a 1320 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierFollowUpDashboardWindow.cs","110","Griglia con 8 colonne fisse e almeno 1310 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaAuditDashboardWindow.cs","24","MinWidth impostata a 980 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaAuditScheduleWindow.cs","15","MinWidth impostata a 920 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierRmaAuditScheduleWindow.cs","16","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaAuditScheduleWindow.cs","17","MinWidth impostata a 1050 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaAuditScheduleWindow.cs","17","MinWidth impostata a 1050 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierRmaAuditScheduleWindow.cs","26","Griglia con 6 colonne fisse e almeno 1140 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierRmaAuditScheduleWindow.cs","26","Griglia con 6 colonne fisse e almeno 1040 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierRmaCapaAttestationRetentionAuditWindow.cs","15","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaCapaAttestationRetentionAuditWindow.cs","16","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierRmaCapaAttestationRetentionAuditWindow.cs","18","Griglia con 6 colonne fisse e almeno 1240 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierRmaCapaDossierRegistryWindow.cs","25","Griglia con 12 colonne fisse e almeno 1775 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierRmaCapaGovernanceReviewRetentionRegistryWindow.cs","174","Griglia con 9 colonne fisse e almeno 1245 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaCentralAuditRegisterWindow.cs","19","MinWidth impostata a 1040 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierRmaCentralAuditRegisterWindow.cs","20","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaCentralAuditRegisterWindow.cs","21","MinWidth impostata a 1250 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierRmaCentralAuditRegisterWindow.cs","28","Griglia con 6 colonne fisse e almeno 990 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaComplianceWindow.cs","15","MinWidth impostata a 980 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierRmaComplianceWindow.cs","16","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaComplianceWindow.cs","17","MinWidth impostata a 1160 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","19","MinWidth impostata a 980 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","20","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","21","MinWidth impostata a 1380 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","29","Griglia con 7 colonne fisse e almeno 1030 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaDetailWindow.cs","15","MinWidth impostata a 900 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaPerformanceWindow.cs","22","MinWidth impostata a 1050 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierRmaPerformanceWindow.cs","34","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaPerformanceWindow.cs","42","MinWidth impostata a 1240 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierRmaPerformanceWindow.cs","56","Griglia con 12 colonne fisse e almeno 1260 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaPortalWindow.cs","17","MinWidth impostata a 1040 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierRmaPortalWindow.cs","20","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaPortalWindow.cs","20","MinWidth impostata a 1510 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\SupplierRmaPortalWindow.cs","20","Griglia con 7 colonne fisse e almeno 1190 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaValidationRegisterWindow.cs","25","MinWidth impostata a 920 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\SupplierRmaValidationRegisterWindow.cs","42","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\SupplierRmaValidationRegisterWindow.cs","51","MinWidth impostata a 1120 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AssetsWindow.cs","43","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetsWindow.cs","63","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\AssetsWindow.cs","104","Griglia con 11 colonne fisse e almeno 1455 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\BrandedHomeWindow.cs","29","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\BrandedSplashLoginWindow.cs","51","MinWidth impostata a 980 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\BrandingCenterWindow.cs","75","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\ChangePasswordWindow.cs","28","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\ControlUnitWindow.cs","34","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\DesignSystemShowcaseWindow.cs","16","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\DiagnosticsWindow.cs","20","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\DocumentManagementWindow.cs","41","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\DocumentManagementWindow.cs","63","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\DocumentManagementWindow.cs","98","Griglia con 10 colonne fisse e almeno 1490 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\DocumentManagementWindow.cs","219","Griglia con 10 colonne fisse e almeno 1200 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\DocumentManagementWindow.cs","234","Griglia con 10 colonne fisse e almeno 1200 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\EmployeeDetailWindow.cs","20","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\EmployeeEditWindow.cs","37","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\EmployeesWindow.cs","39","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\EmployeesWindow.cs","53","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\EmployeesWindow.cs","94","Griglia con 9 colonne fisse e almeno 1245 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\EnterpriseDashboardWindow.cs","22","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\EnterpriseDashboardWindow.cs","36","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\EnterpriseShellFoundationWindow.cs","17","MinWidth impostata a 1100 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\EnterpriseTopBarWindow.cs","22","MinWidth impostata a 960 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\EnterpriseUxCenterWindow.cs","14","MinWidth impostata a 900 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\EnterpriseWorkspaceWindow.cs","63","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\EnterpriseWorkspaceWindow.cs","131","Griglia con 7 colonne fisse e almeno 1130 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\GlobalSearchWindow.cs","22","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\InfrastructureWindow.cs","28","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\InfrastructureWindow.cs","42","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\LaundryMaintenanceWindow.cs","47","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\LaundryMaintenanceWindow.cs","67","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\LaundryMaintenanceWindow.cs","103","Griglia con 8 colonne fisse e almeno 1090 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\LaundryMaintenanceWindow.cs","145","Griglia con 10 colonne fisse e almeno 1420 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\LaundryMaintenanceWindow.cs","244","Griglia con 8 colonne fisse e almeno 990 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\LaundryMaintenanceWindow.cs","257","Griglia con 8 colonne fisse e almeno 990 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\LaundryMaintenanceWindow.cs","278","Griglia con 8 colonne fisse e almeno 1100 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
